DUNS,VENDOR NAME,CONTRACT NUMBER/OFFER NUMBER,SIN,MANUFACTURER NAME,MFGPART,VENDPART,UPC-A,PRODNAME,PRODUCT DESCRIPTION,UOI,GREEN CERTIFICATION,RECYCLED AND/OR POST CONSUMER MATERIAL CONTENT %,COMMERCIAL LIST PRICE,MOST FAVORED CUSTOMER (MFC), DISCOUNT OFFERED TO MFC (%),MFC PRICE, GSA(%) DISCOUNT (exclusive of the .75% IFF),DISCOUNT PRICE OFFERED TO GSA (excluding IFF),PRICE,QUANTITY/VOLUME DISCOUNT,COO,"CDM SIN Only: Manage ""What is on the network?""","CDM SIN Only: Manage ""Who is on the network?""","CDM SIN Only: Manage ""How is the network protected?""","CDM SIN Only: Manage ""What is happening on the network?""",Emerging Tools and Technology,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-8EE,K-1013257-8EE,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8EE","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8EE",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-9.5D,K-1013257-9.5D,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9.5D","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9.5D",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-9.5EE,K-1013257-9.5EE,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9.5EE","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9.5EE",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-9D,K-1013257-9D,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9D","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9D",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-9EE,K-1013257-9EE,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9EE","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9EE",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-10.5D,K-1018024-10.5D,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10.5D","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10.5D",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-10.5EE,K-1018024-10.5EE,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10.5EE","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10.5EE",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-10D,K-1018024-10D,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10D","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10D",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-10EE,K-1018024-10EE,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10EE","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10EE",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-11.5D,K-1018024-11.5D,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11.5D","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11.5D",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
