OEM_NUMBER,UPC,upc 12 digit  text,VENDPART,OEM_NAME,PRODNAME,DESCRIPTION,PRICE,LIST PRICE,UOM,ITEMS_PER_UOI,Min Order Qty,DAYS_ARO,Image Ref,IMAGE_NAME,country_of_origin,JWOD,green_material_flag,PSC_CODE,gds_Categoryname,UNSPSC4,TAA Compliant,,,,,,,,,,,,,,,,,,,,,,,
038867,,,4YDD4,2000PLUS,Self-Ink Microban Date Stamp Font 14,"038867,  MFR 2000PLUS, Self-Inking Microban Date Stamp Number of Bands 4 Character Height 5/32 In. Imprint Area Height 5/32 In. Imprint Area Width 1 In. Font 14 Ink Color Black Material Metal Overall Height 7 In. Overall Length 1-7/8 In Overall Width 2-5/8 In. For Use With 2000Plus Ink Refills and Stamp Pads Includes Dual Pad",45.33,45.97,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/4YDD3_AS01?$S7PRODUCT$,4YDD3_AS01.JPG,AT,,N,7510,Date Stamps,44121604,Y  ,,,,,,,,,,,,,,,,,,,,,,,
2XL65,897979001134,,4LFA9,2XL,Wiper Dispenser 400 to 2300 Wipes,"2XL - 65,  MFR 2XL, Dispenser Product Grouping Wiper Dispenser Paper Towel Type Wipes Dispenser Operation Centerpull Dispenser Material Stainless Steel Dispenser Capacity (400 to 2300) Wipes Proprietary/Universal Universal Dispenser Mounting Floor Color Silver Uses Mfr No 2XL-37 2XL-100 2XL-400 Requirement - Includes Trash Receptacle Waste Can Wiper Dispenser",535.01,795.39,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/4LFA9_AS01?$S7PRODUCT$,4LFA9_AS01.JPG,US,,N,7920,Wiper Dispensers,47131701,Y  ,,,,,,,,,,,,,,,,,,,,,,,
2XL80,897979001158,,4LFC1,2XL,Wiper Dispenser 400 to 2300 Wipes,"2XL - 80,  MFR 2XL, Dispenser Product Grouping Wiper Dispenser Paper Towel Type Wipes Dispenser Operation Centerpull Dispenser Material Plastic Dispenser Capacity (400 to 2300) Wipes Proprietary/Universal Universal Dispenser Mounting Wall Color Smoke Gray Uses Mfr No 2XL-401 2XL-101 2XL-38 2XL-36 2XL-420 2XL-422 2XL-440 2XL-436 2XL-446 Wiper Dispenser",56.67,85.95,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/4LFC1_AS02?$S7PRODUCT$,4LFC1_AS02.JPG,MX,,N,7920,Wiper Dispensers,47131701,Y  ,,,,,,,,,,,,,,,,,,,,,,,
2XL421,,,48UY32,2XL,Sanitizer Wipes Bucket 7-45/64 x 6 ,"2XL-421,  MFR 2XL, Hand Sanitizer Wipes Hygiene Series None Requires Dispenser No Packaging Type Bucket Hygiene Form Wipes Hygiene Properties None Wipes per Container 2300 Sheet Size 7-45/64 in x 6 In. Material Cotton Fragrance Fresh Color White Contains Benzalkonium Chloride Standards FDA",111.33,109.53,EA,1,1,2,https://static.grainger.com/rp/s/is/image/Grainger/48UY32_AS01?$S7PRODUCT$,48UY32_AS01.JPG,US,,N,5350,Hand Sanitizer Wipes,53131624,Y  ,,,,,,,,,,,,,,,,,,,,,,,
2XL422,,,48UY33,2XL,Sanitizer Wipes Bulk Refill 7-45/64 x 6 ,"2XL-422,  MFR 2XL, Hand Sanitizer Wipes Hygiene Series 2XL Requires Dispenser Yes Packaging Type Soft Pack Hygiene Form Wipes Hygiene Properties None Wipes per Container 2300 Sheet Size 7-45/64 in x 6 In. Material Cotton Fragrance Fresh Color White Contains Benzalkonium Chloride Standards FDA",102.93,116.45,EA,1,1,2,https://static.grainger.com/rp/s/is/image/Grainger/48UY33_AS01?$S7PRODUCT$,48UY33_AS01.JPG,US,,N,5350,Hand Sanitizer Wipes,53131624,Y  ,,,,,,,,,,,,,,,,,,,,,,,
2XL001,,,4LFA8,2XL,Wiper Dispenser 700 to 800 Wipes,"2XL-001,  MFR 2XL, Dispenser Product Grouping Wiper Dispenser Paper Towel Type Wipes Dispenser Operation Centerpull Dispenser Material Plastic Dispenser Capacity (700 to 800) Wipes Proprietary/Universal Universal Dispenser Mounting Surface Color White Uses Mfr No 2XL-38 2XL-101 2XL-401 Requirement - Wiper Dispenser",10.31,13.86,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/4LFA8_AS01?$S7PRODUCT$,4LFA8_AS01.JPG,US,,N,7920,Wiper Dispensers,47131701,Y  ,,,,,,,,,,,,,,,,,,,,,,,
2XL44553PM97,,,53PM97,2XL,Sanitizing Wipes 6 x 8 PK2,"2XL-445,  MFR 2XL, Disinfecting and Sanitizing Wipes Sanitizing Cleaning Wipes Primary Chemical Quat Effective to Remove E.coli Staphylococcus Aureus Wet Contact Time 1 to 2 min. Cleaner Container Type Bucket 500 ct. Ready to Use/Concentrated Ready to Use Sheet Size 6 in x 8 In. Cleaner Form Wipes Wipes Application Disinfecting/Sanitizing Sanitizing Wipes Fragrance Fresh Formula Quaternary Ammonium Compounds Color White Standards EPA NSF Package Quantity 2",181.96,187.47,PK,2,1,2,https://static.grainger.com/rp/s/is/image/Grainger/53PM97_AS01?$S7PRODUCT$,53PM97_AS01.JPG,US,,Y,5350,Surface Disinfecting and Sanitizing Wipes,47131502,Y  ,,,,,,,,,,,,,,,,,,,,,,,
2XL44653PM98,,,53PM98,2XL,Sanitizing Wipes 6 x 8 PK2,"2XL-446,  MFR 2XL, Disinfecting and Sanitizing Wipes Sanitizing Cleaning Wipes Primary Chemical Quat Effective to Remove E.coli Staphylococcus Aureus Wet Contact Time 1 to 2 min. Cleaner Container Type Bucket Refill 500 ct. Ready to Use/Concentrated Ready to Use Sheet Size 6 in x 8 In. Cleaner Form Wipes Wipes Application Disinfecting/Sanitizing Sanitizing Wipes Fragrance Fresh Formula Quaternary Ammonium Compounds Color White Standards EPA NSF Package Quantity 2",151.12,171.85,PK,2,1,2,https://static.grainger.com/rp/s/is/image/Grainger/53PM98_AS01?$S7PRODUCT$,53PM98_AS01.JPG,US,,Y,5350,Surface Disinfecting and Sanitizing Wipes,47131502,Y  ,,,,,,,,,,,,,,,,,,,,,,,
2XL447,,,53PM99,2XL,Sanitizing Wipes 6 x 10 PK6,"2XL-447,  MFR 2XL, Disinfecting and Sanitizing Wipes Sanitizing Cleaning Wipes Primary Chemical Quat Effective to Remove E.coli Staphylococcus Aureus Wet Contact Time 1 to 2 min. Cleaner Container Type Canister 100 ct. Ready to Use/Concentrated Ready to Use Sheet Size 6 in x 10 In. Cleaner Form Wipes Wipes Application Disinfecting/Sanitizing Sanitizing Wipes Fragrance Fresh Formula Quaternary Ammonium Compounds Color White Standards EPA NSF Package Quantity 6",127.73,135.05,PK,6,1,2,https://static.grainger.com/rp/s/is/image/Grainger/53PM99_AS01?$S7PRODUCT$,53PM99_AS01.JPG,US,,Y,5350,Surface Disinfecting and Sanitizing Wipes,47131502,Y  ,,,,,,,,,,,,,,,,,,,,,,,
2XL310,,,54TT98,2XL,Pellets Disinfect. 1.73 gal.Bottle PK2,"2XL-310,  MFR 2XL, Disinfectant Primary Chemical None Cleaner Container Type Bottle Cleaner Container Size 1.73 gal. Ready to Use/Concentrated Concentrated Recommended Dilution 2 Tablets per 32 oz. Fragrance Mild Chlorine Cleaner Form Pellets Chemicals For Use On Hard Nonporous Surfaces Standards EPA Registered",260.12,243.49,PK,2,1,2,https://static.grainger.com/rp/s/is/image/Grainger/54TT98_AS01?$S7PRODUCT$,54TT98_AS01.JPG,US,,N,5350,Disinfectants and Sanitizers,47131803,Y  ,,,,,,,,,,,,,,,,,,,,,,,
