PART_NAME,OEM_NAME,OEM_NUMBER,NEW_OEM_NUMBER,PART_NUMBER,NEW_PART_NUMBER,UPC,COMMENT
CHAMFER/DEBURRING ATTACHMENT-FOR 33/64 D,VERNON,CCH5150,CCH5150,BB75CCH5150,BB75CCH5150,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 7/32 DR,VERNON,CCH5310,CCH5310,BB75CCH5310,BB75CCH5310,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 35/64 D,VERNON,CCH5460,CCH5460,BB75CCH5460,BB75CCH5460,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 9/16 DR,VERNON,CCH5620,CCH5620,BB75CCH5620,BB75CCH5620,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 37/64 D,VERNON,CCH5780,CCH5780,BB75CCH5780,BB75CCH5780,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 19/32 D,VERNON,CCH5930,CCH5930,BB75CCH5930,BB75CCH5930,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 39/64 D,VERNON,CCH6090,CCH6090,BB75CCH6090,BB75CCH6090,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 5/8 DRI,VERNON,CCH6250,CCH6250,BB75CCH6250,BB75CCH6250,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 41/64 D,VERNON,CCH6401,CCH6401,BB75CCH6401,BB75CCH6401,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 21/32 D,VERNON,CCH6560,CCH6560,BB75CCH6560,BB75CCH6560,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 43/64 D,VERNON,CCH6710,CCH6710,BB75CCH6710,BB75CCH6710,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 11/16 D,VERNON,CCH6870,CCH6870,BB75CCH6870,BB75CCH6870,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 45/64 D,VERNON,CCH7030,CCH7030,BB75CCH7030,BB75CCH7030,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 23/32 D,VERNON,CCH7180,CCH7180,BB75CCH7180,BB75CCH7180,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 47/64 D,VERNON,CCH7340,CCH7340,BB75CCH7340,BB75CCH7340,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 3/4 DRI,VERNON,CCH7500,CCH7500,BB75CCH7500,BB75CCH7500,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 49/64 D,VERNON,CCH7650,CCH7650,BB75CCH7650,BB75CCH7650,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 25/32 D,VERNON,CCH7810,CCH7810,BB75CCH7810,BB75CCH7810,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 51/64 D,VERNON,CCH7960,CCH7960,BB75CCH7960,BB75CCH7960,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 13/16 D,VERNON,CCH8120,CCH8120,BB75CCH8120,BB75CCH8120,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 53/64 D,VERNON,CCH8280,CCH8280,BB75CCH8280,BB75CCH8280,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 27/32 D,VERNON,CCH8430,CCH8430,BB75CCH8430,BB75CCH8430,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 55/64 D,VERNON,CCH8590,CCH8590,BB75CCH8590,BB75CCH8590,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 7/8 DRI,VERNON,CCH8750,CCH8750,BB75CCH8750,BB75CCH8750,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 57/64 D,VERNON,CCH8900,CCH8900,BB75CCH8900,BB75CCH8900,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 29/32 D,VERNON,CCH9060,CCH9060,BB75CCH9060,BB75CCH9060,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 59/64 D,VERNON,CCH9210,CCH9210,BB75CCH9210,BB75CCH9210,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 15/16 D,VERNON,CCH9370,CCH9370,BB75CCH9370,BB75CCH9370,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 61/64 D,VERNON,CCH9530,CCH9530,BB75CCH9530,BB75CCH9530,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 31/32 D,VERNON,CCH9680,CCH9680,BB75CCH9680,BB75CCH9680,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 63/64 D,VERNON,CCH9840,CCH9840,BB75CCH9840,BB75CCH9840,,toolong
CHAMFER/DEBURRING ATTACHMENT-FOR 1 DRILL,VERNON,CCH9990,CCH9990,BB75CCH9990,BB75CCH9990,,toolong
#2 TAP SIZE-FOR 3 FL TAP TAPPING/DEBURRI,VERNON,20250,20250,BB7520250,BB7520250,,toolong
#3 TAP SIZE-FOR 3 FL TAP TAPPING/DEBURRI,VERNON,20350,20350,BB7520350,BB7520350,,toolong
#4 TAP SIZE-FOR 2 OR 4 FL TAP TAPPING/DE,VERNON,20400,20400,BB7520400,BB7520400,,toolong
#4 TAP SIZE-FOR 3 FL TAP TAPPING/DEBURRI,VERNON,20450,20450,BB7520450,BB7520450,,toolong
#5 TAP SIZE-FOR 2 OR 4 FL TAP TAPPING/DE,VERNON,20500,20500,BB7520500,BB7520500,,toolong
#5 TAP SIZE-FOR 3 FL TAP TAPPING/DEBURRI,VERNON,20550,20550,BB7520550,BB7520550,,toolong
#6 TAP SIZE-FOR 2 OR 4 FL TAP TAPPING/DE,VERNON,20600,20600,BB7520600,BB7520600,,toolong
#8 TAP SIZE-FOR 3 FL TAP TAPPING/DEBURRI,VERNON,20750,20750,BB7520750,BB7520750,,toolong
#10 TAP SIZE-FOR 2 OR 4 FL TAP TAPPING/D,VERNON,20800,20800,BB7520800,BB7520800,,toolong
#10 TAP SIZE-FOR 3 FL TAP TAPPING/DEBURR,VERNON,20850,20850,BB7520850,BB7520850,,toolong
#12 TAP SIZE-FOR 2 OR 4 FL TAP TAPPING/D,VERNON,20900,20900,BB7520900,BB7520900,,toolong
#12 TAP SIZE-FOR 3 FL TAP TAPPING/DEBURR,VERNON,20950,20950,BB7520950,BB7520950,,toolong
1/4 TAP SIZE-FOR 2 OR 4 FL TAP TAPPING/D,VERNON,21100,21100,BB7521100,BB7521100,,toolong
1/4 TAP SIZE-FOR 3 FL TAP TAPPING/DEBURR,VERNON,21150,21150,BB7521150,BB7521150,,toolong
5/16 TAP SIZE-FOR 2 OR 4 FL TAP TAPPING/,VERNON,21200,21200,BB7521200,BB7521200,,toolong
5/16 TAP SIZE-FOR 3 FL TAP TAPPING/DEBUR,VERNON,21250,21250,BB7521250,BB7521250,,toolong
3/8 TAP SIZE-FOR 2 OR 4 FL TAP TAPPING/D,VERNON,21300,21300,BB7521300,BB7521300,,toolong
3/8 TAP SIZE-FOR 3 FL TAP TAPPING/DEBURR,VERNON,21350,21350,BB7521350,BB7521350,,toolong
7/16 TAP SIZE-FOR 2 OR 4 FL TAP TAPPING/,VERNON,21400,21400,BB7521400,BB7521400,,toolong
7/16 TAP SIZE-FOR 3 FL TAP TAPPING/DEBUR,VERNON,21450,21450,BB7521450,BB7521450,,toolong
1/2 TAP SIZE-FOR 2 OR 4 FL TAP TAPPING/D,VERNON,21500,21500,BB7521500,BB7521500,,toolong
1/2 TAP SIZE-FOR 3 FL TAP TAPPING/DEBURR,VERNON,21550,21550,BB7521550,BB7521550,,toolong
9/16 TAP SIZE-FOR 2 OR 4 FL TAP TAPPING/,VERNON,21600,21600,BB7521600,BB7521600,,toolong
9/16 TAP SIZE-FOR 3 FL TAP TAPPING/DEBUR,VERNON,21650,21650,BB7521650,BB7521650,,toolong
5/8 TAP SIZE-FOR 2 OR 4 FL TAP TAPPING/D,VERNON,21700,21700,BB7521700,BB7521700,,toolong
3/4 TAP SIZE-FOR 2 OR 4 FL TAP TAPPING/D,VERNON,21900,21900,BB7521900,BB7521900,,toolong
3/4 TAP SIZE-FOR 3 FL TAP TAPPING/DEBURR,VERNON,21950,21950,BB7521950,BB7521950,,toolong
1/8  PIPETAP SIZE-FOR 4 FL TAP TAPPING/D,VERNON,41100,41100,BB7541100,BB7541100,,toolong
1/4  PIPETAP SIZE-FOR 4 FL TAP TAPPING/D,VERNON,41200,41200,BB7541200,BB7541200,,toolong
3/8  PIPETAP SIZE-FOR 4 FL TAP TAPPING/D,VERNON,41300,41300,BB7541300,BB7541300,,toolong
1/2  PIPETAP SIZE-FOR 4 FL TAP TAPPING/D,VERNON,41400,41400,BB7541400,BB7541400,,toolong
3/4  PIPETAP SIZE-FOR 5 FL TAP TAPPING/D,VERNON,41500,41500,BB7541500,BB7541500,,toolong
1  PIPETAP SIZE-FOR 5 FL TAP TAPPING/DEB,VERNON,41600,41600,BB7541600,BB7541600,,toolong
3/32 TO 1/4 DIA RANGE 0 FL PILOTLESS COU,WELDON,98110-94-W,98110-94-W,BB40CSA8,BB40CSA8,,toolong
1/8 TO 27/64 DIA RANGE 0 FL PILOTLESS CO,WELDON,98120-94-W,98120-94-W,BB40CSA14,BB40CSA14,,toolong
3/16 TO 35/64 DIA RANGE 0 FL PILOTLESS C,WELDON,98130-94-W,98130-94-W,BB40CSA18,BB40CSA18,,toolong
3/16 TO 13/32 DIA RANGE 0 FL PILOTLESS C,WELDON,98630-94-W,98630-94-W,BB40DC14,BB40DC14,,toolong
5/16 TO 17/32 DIA RANGE 0 FL PILOTLESS C,WELDON,98640-94-W,98640-94-W,BB40DC18,BB40DC18,,toolong
7/16 TO 25/32 DIA RANGE 0 FL PILOTLESS C,WELDON,98650-94-W,98650-94-W,BB40DC26A,BB40DC26A,,toolong
7/16 TO 25/32 DIA RANGE 0 FL PILOTLESS C,WELDON,98660-94-W,98660-94-W,BB40DC26,BB40DC26,,toolong
11/16 TO 13/32 DIA RANGE 0 FL PILOTLESS,WELDON,98670-94-W,98670-94-W,BB40DC36,BB40DC36,,toolong
4 OR #5 SCREW 0 FL PILOTLESS COUNTERSINK,WELDON,98812-94-W,98812-94-W,BB40CS5S,BB40CS5S,,toolong
#6 SCREW-1/4 SHANK-82 -0 FL PILOTLESS CO,WELDON,98814-94-W,98814-94-W,BB40CS6S,BB40CS6S,,toolong
#8 SCREW-1/4 SHANK-82 -0 FL PILOTLESS CO,WELDON,98816-94-W,98816-94-W,BB40CS8S,BB40CS8S,,toolong
#10 SCREW-1/4 SHANK-82 -0 FL PILOTLESS C,WELDON,98818-94-W,98818-94-W,BB40CS10S,BB40CS10S,,toolong
3/16 TO 17/32 DIA RANGE 0 FL PILOTLESS C,WELDON,98820-94-W,98820-94-W,BB40CS18,BB40CS18,,toolong
.307 TO 25/32 DIA RANGE 0 FL PILOTLESS C,WELDON,98822-94-W,98822-94-W,BB40CS26A,BB40CS26A,,toolong
.307 TO 25/32 DIA RANGE 0 FL PILOTLESS C,WELDON,98824-94-W,98824-94-W,BB40CS26,BB40CS26,,toolong
.431 TO 7/8 DIA RANGE 0 FL PILOTLESS COU,WELDON,98826-94-W,98826-94-W,BB40CS36,BB40CS36,,toolong
1/2 TO 1-15/32 DIA RANGE 0 FL PILOTLESS,WELDON,98828-94-W,98828-94-W,BB40CS48,BB40CS48,,toolong
5/32 TO 13/32 DIA RANGE 0 FL PILOTLESS C,WELDON,98916-94-W,98916-94-W,BB40DB14,BB40DB14,,toolong
3/16 TO 17/32 DIA RANGE 0 FL PILOTLESS C,WELDON,98918-94-W,98918-94-W,BB40DB18,BB40DB18,,toolong
5/16 TO 25/32 DIA RANGE 0 FL PILOTLESS C,WELDON,98920-94-W,98920-94-W,BB40DB26A,BB40DB26A,,toolong
5/16 TO 25/32 DIA RANGE 0 FL PILOTLESS C,WELDON,98922-94-W,98922-94-W,BB40DB26,BB40DB26,,toolong
1/2 TO 1-15/32 DIA RANGE 0 FL PILOTLESS,WELDON,98924-94-W,98924-94-W,BB40DB48,BB40DB48,,toolong
9/16 TO 13/32 DIA RANGE 0 FL PILOTLESS C,WELDON,98926-94-W,98926-94-W,BB40DB36,BB40DB36,,toolong
3/32-11/64 DIA RANGE-3/16 SHANK 0 FL DE,WELDON,98610-94-W,98610-94-W,BB40DC6,BB40DC6,,toolong
1/8 TO 15/64 DIA RANGE-1/4 SHANK 0 FL DE,WELDON,98620-94-W,98620-94-W,BB40DC8,BB40DC8,,toolong
.073 TO 15/64 DIA RANGE 0 FL DE COUNTERS,WELDON,98810-94-W,98810-94-W,BB40CS3S,BB40CS3S,,toolong
1/64 TO 11/64 DIA RANGE 0 FL DE COUNTERS,WELDON,98910-94-W,98910-94-W,BB40DB4,BB40DB4,,toolong
1/16 TO 11/64 DIA RANGE 0 FL DE COUNTERS,WELDON,98912-94-W,98912-94-W,BB40DB6,BB40DB6,,toolong
1/8-15/64 DIA RANGE-1/4 SHANK-90  0 FL D,WELDON,98914-94-W,98914-94-W,BB40DB8,BB40DB8,,toolong
1/2 STRGHT SHANK FOR REMOVABLE SHANK DEB,WELDON,98510-00-W,98510-00-W,BB40DS2,BB40DS2,,toolong
1/2 STRGHT SHANK FOR REMOVABLE SHANK DEB,WELDON,98520-00-W,98520-00-W,BB40DS3,BB40DS3,,toolong
2 MT SHANK FOR REMOVABLE SHANK DEBURRING,WELDON,98530-00-W,98530-00-W,BB40DS2T,BB40DS2T,,toolong
2 MT SHANK FOR REMOVABLE SHANK DEBURRING,WELDON,98540-00-W,98540-00-W,BB40DS3T,BB40DS3T,,toolong
0 FL-1-1/16-2 DIA-90  REMOVABLE SHANK DE,WELDON,98928-94-W,98928-94-W,BB40DB64,BB40DB64,,toolong
0 FLUTE-2 TO 3 DIA-90  REMOVABLE SHANK D,WELDON,98930-94-W,98930-94-W,BB40DB96,BB40DB96,,toolong
1/4 PILOT-1/4 SCREW 0 FL PILOTED COUNTER,WELDON,98710-94-W,98710-94-W,BB40CS81,BB40CS81,,toolong
17/64 PILOT-1/4 SCREW 0 FL PILOTED COUNT,WELDON,98712-94-W,98712-94-W,BB40CS82,BB40CS82,,toolong
5/16 PILOT-5/16 SCREW 0 FL PILOTED COUNT,WELDON,98714-94-W,98714-94-W,BB40CS101,BB40CS101,,toolong
21/64 PILOT-5/16 SCREW 0 FL PILOTED COUN,WELDON,98716-94-W,98716-94-W,BB40CS102,BB40CS102,,toolong
3/8 PILOT-3/8 SCREW 0 FL PILOTED COUNTER,WELDON,98718-94-W,98718-94-W,BB40CS121,BB40CS121,,toolong
25/64 PILOT-3/8 SCREW 0 FL PILOTED COUNT,WELDON,98720-94-W,98720-94-W,BB40CS122,BB40CS122,,toolong
7/16 PILOT-7/16 SCREW 0 FL PILOTED COUNT,WELDON,98722-94-W,98722-94-W,BB40CS141,BB40CS141,,toolong
29/64 PILOT-7/16 SCREW 0 FL PILOTED COUN,WELDON,98724-94-W,98724-94-W,BB40CS142,BB40CS142,,toolong
1/2 PILOT-1/2 SCREW 0 FL PILOTED COUNTER,WELDON,98726-94-W,98726-94-W,BB40CS161,BB40CS161,,toolong
33/64 PILOT-1/2 SCREW 0 FL PILOTED COUNT,WELDON,98728-94-W,98728-94-W,BB40CS162,BB40CS162,,toolong
9 PC. HSS COUNTERSINK SET,WELDON,99034-94-W-SET,99034-94-W-SET,BB401CSET,BB401CSET,,toolong
9 PC. HSS COUNTERSINK SET,WELDON,99036-94-W-SET,99036-94-W-SET,BB402CSET,BB402CSET,,toolong
6 PC. HSS 60  DEBURRING SET,WELDON,99038-94-W-SET,99038-94-W-SET,BB4060DB,BB4060DB,,toolong
6 PC. HSS 90  DEBURRING SET,WELDON,99040-94-W-SET,99040-94-W-SET,BB4090DB,BB4090DB,,toolong
4 PC. HSS COUNTERSINK SET,WELDON,99042-94-W-SET,99042-94-W-SET,BB40GCSET,BB40GCSET,,toolong
4 PC. HSS COUNTERSINK SET,WELDON,99044-94-W-SET,99044-94-W-SET,BB40WCSET,BB40WCSET,,toolong
5 PC. HSS COUNTERSINK SET,WELDON,99046-94-W-SET,99046-94-W-SET,BB40WCGSET,BB40WCGSET,,toolong
#72556-IP8-10 - TORX PLUS SCREWS-10/PACK,ALLIED MACHINE AND ENG.,72556-IP8-1,72556-IP8-1,BA5272556IP810,BA5272556IP810,,toolong
1.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501401000,501401000,AY650100,AY650100,,toolong
1.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501401500,501401500,AY650150,AY650150,,toolong
2.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501402000,501402000,AY650200,AY650200,,toolong
2.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501402500,501402500,AY650250,AY650250,,toolong
3.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501403000,501403000,AY650300,AY650300,,toolong
3.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501403500,501403500,AY650350,AY650350,,toolong
4.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501404000,501404000,AY650400,AY650400,,toolong
4.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501404500,501404500,AY650450,AY650450,,toolong
5.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501405000,501405000,AY650500,AY650500,,toolong
5.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501405500,501405500,AY650550,AY650550,,toolong
6.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501406000,501406000,AY650600,AY650600,,toolong
6.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501406500,501406500,AY650650,AY650650,,toolong
7.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501407000,501407000,AY650700,AY650700,,toolong
7.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501407500,501407500,AY650750,AY650750,,toolong
8.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501408000,501408000,AY650800,AY650800,,toolong
8.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501408500,501408500,AY650850,AY650850,,toolong
9.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501409000,501409000,AY650900,AY650900,,toolong
9.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501409500,501409500,AY650950,AY650950,,toolong
10.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501410000,501410000,AY651000,AY651000,,toolong
10.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501410500,501410500,AY651050,AY651050,,toolong
11.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501411000,501411000,AY651100,AY651100,,toolong
11.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501411500,501411500,AY651150,AY651150,,toolong
12.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501412000,501412000,AY651200,AY651200,,toolong
12.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501412500,501412500,AY651250,AY651250,,toolong
13.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501413000,501413000,AY651300,AY651300,,toolong
13.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501413500,501413500,AY651350,AY651350,,toolong
14.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501414000,501414000,AY651400,AY651400,,toolong
14.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501414500,501414500,AY651450,AY651450,,toolong
15.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501415000,501415000,AY651500,AY651500,,toolong
15.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501415500,501415500,AY651550,AY651550,,toolong
16.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501416000,501416000,AY651600,AY651600,,toolong
16.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501416500,501416500,AY651650,AY651650,,toolong
17.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501417000,501417000,AY651700,AY651700,,toolong
17.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501417500,501417500,AY651750,AY651750,,toolong
18.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501418000,501418000,AY651800,AY651800,,toolong
18.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501418500,501418500,AY651850,AY651850,,toolong
19.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501419000,501419000,AY651900,AY651900,,toolong
19.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501419500,501419500,AY651950,AY651950,,toolong
20.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501420000,501420000,AY652000,AY652000,,toolong
20.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501420500,501420500,AY652050,AY652050,,toolong
21.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501421000,501421000,AY652100,AY652100,,toolong
21.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501421500,501421500,AY652150,AY652150,,toolong
22.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501422000,501422000,AY652200,AY652200,,toolong
22.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501422500,501422500,AY652250,AY652250,,toolong
23.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501423000,501423000,AY652300,AY652300,,toolong
23.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501423500,501423500,AY652350,AY652350,,toolong
24.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501424000,501424000,AY652400,AY652400,,toolong
24.50 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501424500,501424500,AY652450,AY652450,,toolong
25.00 DIA-HSS-BRIGHT FINISH DRILL BLANK,GENERIC USA,501425000,501425000,AY652500,AY652500,,toolong
1 DIA-6 OAL-CBD TIP-HSS-MASONRY HAMMER D,GENERIC USA,H10006,H10006,AW67R6406,AW67R6406,,toolong
1-1/8 DIA-6 OAL-CBD TIP-HSS-MASONRY HAMM,GENERIC USA,H11256,H11256,AW67R7206,AW67R7206,,toolong
1-1/4 DIA-6 OAL-CBD TIP-HSS-MASONRY HAMM,GENERIC USA,H12506,H12506,AW67R8006,AW67R8006,,toolong
1/8 DIA-3 OAL-CBD TIP-HSS-MASONRY HAMMER,GENERIC USA,H1253,H1253,AW67R0803,AW67R0803,,toolong
1/8 DIA-6 OAL-CBD TIP-HSS-MASONRY HAMMER,GENERIC USA,H1256,H1256,AW67R0806,AW67R0806,,toolong
5/32 DIA-3 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H1563,H1563,AW67R1003,AW67R1003,,toolong
5/32 DIA-6 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H1566,H1566,AW67R1006,AW67R1006,,toolong
3/16 DIA-13-1/2 OAL-CBD TIP-HSS-MASONRY,GENERIC USA,H18713,H18713,AW67R1213,AW67R1213,,toolong
3/16 DIA-4 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H1874,H1874,AW67R1204,AW67R1204,,toolong
3/16 DIA-6 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H1876,H1876,AW67R1206,AW67R1206,,toolong
3/16 DIA-8 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H1878,H1878,AW67R1208,AW67R1208,,toolong
1/4 DIA-13 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H25013,H25013,AW67R1613,AW67R1613,,toolong
1/4 DIA-18 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H25018,H25018,AW67R1618,AW67R1618,,toolong
1/4 DIA-24 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H25024,H25024,AW67R1624,AW67R1624,,toolong
1/4 DIA-4 OAL-CBD TIP-HSS-MASONRY HAMMER,GENERIC USA,H2504,H2504,AW67R1604,AW67R1604,,toolong
1/4 DIA-6 OAL-CBD TIP-HSS-MASONRY HAMMER,GENERIC USA,H2506,H2506,AW67R1606,AW67R1606,,toolong
5/16 DIA-13 OAL-CBD TIP-HSS-MASONRY HAMM,GENERIC USA,H31213,H31213,AW67R2013,AW67R2013,,toolong
5/16 DIA-18 OAL-CBD TIP-HSS-MASONRY HAMM,GENERIC USA,H31218,H31218,AW67R2018,AW67R2018,,toolong
5/16 DIA-24 OAL-CBD TIP-HSS-MASONRY HAMM,GENERIC USA,H31224,H31224,AW67R2024,AW67R2024,,toolong
5/16 DIA-4 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H3124,H3124,AW67R2004,AW67R2004,,toolong
5/16 DIA-6 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H3126,H3126,AW67R2006,AW67R2006,,toolong
3/8 DIA-13 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H37513,H37513,AW67R2413,AW67R2413,,toolong
3/8 DIA-18 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H37518,H37518,AW67R2418,AW67R2418,,toolong
3/8 DIA-24 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H37524,H37524,AW67R2424,AW67R2424,,toolong
3/8 DIA-4 OAL-CBD TIP-HSS-MASONRY HAMMER,GENERIC USA,H3754,H3754,AW67R2404,AW67R2404,,toolong
3/8 DIA-6 OAL-CBD TIP-HSS-MASONRY HAMMER,GENERIC USA,H3756,H3756,AW67R2406,AW67R2406,,toolong
7/16 DIA-6 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H4376,H4376,AW67R2806,AW67R2806,,toolong
1/2 DIA-13 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H50013,H50013,AW67R3213,AW67R3213,,toolong
1/2 DIA-18 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H50018,H50018,AW67R3218,AW67R3218,,toolong
1/2 DIA-24 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H50024,H50024,AW67R3224,AW67R3224,,toolong
1/2 DIA-6 OAL-CBD TIP-HSS-MASONRY HAMMER,GENERIC USA,H5006,H5006,AW67R3206,AW67R3206,,toolong
9/16 DIA-13-1/2 OAL-CBD TIP-HSS-MASONRY,GENERIC USA,H56213,H56213,AW67R3613,AW67R3613,,toolong
9/16 DIA-18 OAL-CBD TIP-HSS-MASONRY HAMM,GENERIC USA,H56218,H56218,AW67R3618,AW67R3618,,toolong
9/16 DIA-6 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H5626,H5626,AW67R3606,AW67R3606,,toolong
5/8 DIA-13-1/2 OAL-CBD TIP-HSS-MASONRY H,GENERIC USA,H62513,H62513,AW67R4013,AW67R4013,,toolong
5/8 DIA-18 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H62518,H62518,AW67R4018,AW67R4018,,toolong
5/8 DIA-24 OAL-CBD TIP-HSS-MASONRY HAMME,GENERIC USA,H62524,H62524,AW67R4024,AW67R4024,,toolong
5/8 DIA-6 OAL-CBD TIP-HSS-MASONRY HAMMER,GENERIC USA,H62563/8,H62563/8,AW67R4006,AW67R4006,,toolong
3/4 DIA-6 OAL-CBD TIP-HSS-MASONRY HAMMER,GENERIC USA,H7506,H7506,AW67R4806,AW67R4806,,toolong
