Item Master Primary Spec/Item Status Information/Archive,Item Master Primary Spec/Common Information/Commercial and Government Entity Code,Item Master Primary Spec/Common Information/Contract Number,Item Master Primary Spec/Common Information/Part Number,Item Master Primary Spec/Common Information/Part Name,Item Master Primary Spec/Common Information/Federal Supply Class,Item Master Primary Spec/Pricing/Original Unit Price,Item Master Primary Spec/Pricing/Original Unit of Issue,Item Master Primary Spec/Pricing/Quantity Per Unit Pack,Item Master Primary Spec/Common Information/Original Equipment Manufacturer Part Number,Item Master Primary Spec/Common Information/Original Equipment Manufacturer CAGE Code,Item Master Primary Spec/Common Information/Original Equipment Manufacturer Name,Item Master Primary Spec/Short Description,Item Master Primary Spec/Common Information/Days After Receipt of Order,Item Master Primary Spec/Long Description,Item Master Primary Spec/Common Information/Universal Product Code,Item Master Primary Spec/Commercial Information/Environmental Information/Hazardous Material Flag,Item Master Primary Spec/Sale Pricing/Sale Start Date,Item Master Primary Spec/Sale Pricing/Sale End Date,Item Master Primary Spec/Sale Pricing/Sale Price,Item Master Primary Spec/Commercial Information/Shipping Information/Shipment Level of Service/Standard Shipment Price,Item Master Primary Spec/Commercial Information/Shipping Information/Shipment Level of Service/Expedited Shipment Price,Item Master Primary Spec/Commercial Information/Shipping Information/Shipment Level of Service/Next Day Shipment Price,Item Master Primary Spec/Special Properties/Environmentally Preferred/Environmentally Preferred Indicator,Item Master Primary Spec/Special Properties/Environmentally Preferred/Justifying Comment,Item Master Primary Spec/Special Properties/Energy Star/Energy Star Indicator,Item Master Primary Spec/Special Properties/Energy Star/Justifying Comment
6QA099,1X4 HDMI 2.0 SPLITTER W/ AUDIO EXTRACTO,7010,111.36,EA,0,6QA099,,SIIG INC,1X4 HDMI 2.0 SPLITTER W/ AUDIO EXTRACTOR / AUTO SCALING & EDID ING!!!,8,1X4 HDMI 2.0 SPLITTER W/ AUDIO EXTRACTOR / AUTO SCALING & EDID ING!!!,,,,,,,,,,,,,,,
6QG798,LIVE GAME HDMI CAPTURE PCIE CARD CAP,7010,173.24,EA,0,6QG798,,SIIG INC,LIVE GAME HDMI CAPTURE PCIE CARD CAPTURE RECORD OR STREAM ING!!!,8,LIVE GAME HDMI CAPTURE PCIE CARD CAPTURE RECORD OR STREAM ING!!!,,,,,,,,,,,,,,,
6QB816,HDMI 2.0 OVER IP MATRIX AND VIDEO WA,7010,420.74,EA,0,6QB816,,SIIG INC,HDMI 2.0 OVER IP MATRIX AND VIDEO WALL-TRANSMITTER ING!!!,8,HDMI 2.0 OVER IP MATRIX AND VIDEO WALL-TRANSMITTER ING!!!,,,,,,,,,,,,,,,
6QB817,HDMI 2.0 OVER IP MATRIX AND VIDEO WA,7010,445.49,EA,0,6QB817,,SIIG INC,HDMI 2.0 OVER IP MATRIX AND VIDEO WALL-RECEIVER ING!!!,8,HDMI 2.0 OVER IP MATRIX AND VIDEO WALL-RECEIVER ING!!!,,,,,,,,,,,,,,,
6QB818,HDMI 2.0 OVER IP MATRIX AND VIDEO WA,7010,284.62,EA,0,6QB818,,SIIG INC,HDMI 2.0 OVER IP MATRIX AND VIDEO WALL-CONTROLLER ING!!!,8,HDMI 2.0 OVER IP MATRIX AND VIDEO WALL-CONTROLLER ING!!!,,,,,,,,,,,,,,,
6QG801,2PORT HDMI 2.0 4K HDR SMART CONSOLE,7010,321.74,EA,0,6QG801,,SIIG INC,2PORT HDMI 2.0 4K HDR SMART CONSOLE KVM SWITCH WITH USB 3 ING!!!,8,2PORT HDMI 2.0 4K HDR SMART CONSOLE KVM SWITCH WITH USB 3 ING!!!,,,,,,,,,,,,,,,
6QG802,4PORT HDMI 2.0 4K HDR SMART CONSOLE,7010,420.74,EA,0,6QG802,,SIIG INC,4PORT HDMI 2.0 4K HDR SMART CONSOLE KVM SWITCH WITH USB 3 ING!!!,8,4PORT HDMI 2.0 4K HDR SMART CONSOLE KVM SWITCH WITH USB 3 ING!!!,,,,,,,,,,,,,,,
6YP220,4X1 HDMI SEAMLESS QUAD-SPLIT MULTI-VI,7010,173.24,EA,0,6YP220,,SIIG INC,4X1 HDMI SEAMLESS QUAD-SPLIT MULTI-VIEWER SWITCHER ING!!!,8,4X1 HDMI SEAMLESS QUAD-SPLIT MULTI-VIEWER SWITCHER ING!!!,,,,,,,,,,,,,,,
7HQ840,12G-SDI TO HDMI 2.0 CONVERTER 12G/6G/3,7010,556.87,EA,0,7HQ840,,SIIG INC,12G-SDI TO HDMI 2.0 CONVERTER 12G/6G/3G/HD/SD SDI SIGNAL TO HDMI ING!!!,8,12G-SDI TO HDMI 2.0 CONVERTER 12G/6G/3G/HD/SD SDI SIGNAL TO HDMI ING!!!,,,,,,,,,,,,,,,
6HH525,USB-C TRIPLE 4K VIDEO DOCKING STATION,7010,279.67,EA,0,6HH525,,SIIG INC,USB-C TRIPLE 4K VIDEO DOCKING STATION WITH POWER DELIVERY ING!!!,8,USB-C TRIPLE 4K VIDEO DOCKING STATION WITH POWER DELIVERY ING!!!,,,,,,,,,,,,,,,
2DA569,52PORT 48XGB WEB SMART SWITCH,7010,392.38,EA,0,2DA569,,TRENDNET INC,52PORT 48XGB WEB SMART SWITCH ING!!!,8,52PORT 48XGB WEB SMART SWITCH ING!!!,,,,,,,,,,,,,,,
7AY710,MINI-GBIC SINGLE MODE 40KM,7010,118.9,EA,0,7AY710,,TRENDNET INC,MINI-GBIC SINGLE MODE 40KM ING!!!,8,MINI-GBIC SINGLE MODE 40KM ING!!!,,,,,,,,,,,,,,,
7AY711,MINI GBIC WDM SINGLE-MODE,7010,118.9,EA,0,7AY711,,TRENDNET INC,MINI GBIC WDM SINGLE-MODE ING!!!,8,MINI GBIC WDM SINGLE-MODE ING!!!,,,,,,,,,,,,,,,
7AY712,MINI GBIC WDM SINGLE-MODE,7010,154.57,EA,0,7AY712,,TRENDNET INC,MINI GBIC WDM SINGLE-MODE ING!!!,8,MINI GBIC WDM SINGLE-MODE ING!!!,,,,,,,,,,,,,,,
7AY713,MINI-GBIC SINGLE MODE 80KM,7010,154.57,EA,0,7AY713,,TRENDNET INC,MINI-GBIC SINGLE MODE 80KM ING!!!,8,MINI-GBIC SINGLE MODE 80KM ING!!!,,,,,,,,,,,,,,,
1Q0620,16PORT GIGABIT GREENNET SWITCH FANLESS,7010,71.34,EA,0,1Q0620,,TRENDNET INC,16PORT GIGABIT GREENNET SWITCH FANLESS UNMANAGED DESKTOP SWITCH ING!!!,8,16PORT GIGABIT GREENNET SWITCH FANLESS UNMANAGED DESKTOP SWITCH ING!!!,,,,,,,,,,,,,,,
1Q0621,24PORT GIGABIT GREENNET SWITCH FANLESS,7010,95.12,EA,0,1Q0621,,TRENDNET INC,24PORT GIGABIT GREENNET SWITCH FANLESS UNMANAGED DESKTOP SWITCH ING!!!,8,24PORT GIGABIT GREENNET SWITCH FANLESS UNMANAGED DESKTOP SWITCH ING!!!,,,,,,,,,,,,,,,
4G5092,10DBI WL N300 OUTDOOR POE ACCESS P,7010,130.79,EA,0,4G5092,,TRENDNET INC,10DBI WL N300 OUTDOOR POE ACCESS POINT ING!!!,8,10DBI WL N300 OUTDOOR POE ACCESS POINT ING!!!,,,,,,,,,,,,,,,
4U1492,N300 WL CONTROLLER KIT CENTRALI,7010,169.16,EA,0,4U1492,,TRENDNET INC,N300 WL CONTROLLER KIT CENTRALIZED AP MGMT ING!!!,8,N300 WL CONTROLLER KIT CENTRALIZED AP MGMT ING!!!,,,,,,,,,,,,,,,
4U1491,AC1200 DUAL BAND WL CTLR KIT .,7010,245.75,EA,0,4U1491,,TRENDNET INC,AC1200 DUAL BAND WL CTLR KIT . ING!!!,8,AC1200 DUAL BAND WL CTLR KIT . ING!!!,,,,,,,,,,,,,,,
8D8965,AC1750 DUAL BAND POE ACCESS POINT GI,7010,139.93,EA,0,8D8965,,TRENDNET INC,AC1750 DUAL BAND POE ACCESS POINT GIGABIT POE+ LAN PORT ING!!!,8,AC1750 DUAL BAND POE ACCESS POINT GIGABIT POE+ LAN PORT ING!!!,,,,,,,,,,,,,,,
3DY070,POE INDOOR WRLS ACCESS POINT AC2200 T,7010,211.46,EA,0,3DY070,,TRENDNET INC,POE INDOOR WRLS ACCESS POINT AC2200 TRIBAND POE INDOOR ING!!!,8,POE INDOOR WRLS ACCESS POINT AC2200 TRIBAND POE INDOOR ING!!!,,,,,,,,,,,,,,,
7FY903,AC2200 WIFI MESH ROUTER,7010,154.57,EA,0,7FY903,,TRENDNET INC,AC2200 WIFI MESH ROUTER ING!!!,8,AC2200 WIFI MESH ROUTER ING!!!,,,,,,,,,,,,,,,
7FY905,AC2200 WIFI MESH ROUTER SYSTEM,7010,273.48,EA,0,7FY905,,TRENDNET INC,AC2200 WIFI MESH ROUTER SYSTEM ING!!!,8,AC2200 WIFI MESH ROUTER SYSTEM ING!!!,,,,,,,,,,,,,,,
6RV980,WRLS AC1300 OUTDOOR POE+5 DBI OMNI-DIR,7010,214.71,EA,0,6RV980,,TRENDNET INC,WRLS AC1300 OUTDOOR POE+5 DBI OMNI-DIRECTIONAL ACCESS POINT ING!!!,8,WRLS AC1300 OUTDOOR POE+5 DBI OMNI-DIRECTIONAL ACCESS POINT ING!!!,,,,,,,,,,,,,,,
Q72814,1000TX TO 1000SX SC-TYPE FIBER MULTIMOD,7010,71.33,EA,0,Q72814,,TRENDNET INC,1000TX TO 1000SX SC-TYPE FIBER MULTIMODE MEDIA CONVERTER ING!!!,8,1000TX TO 1000SX SC-TYPE FIBER MULTIMODE MEDIA CONVERTER ING!!!,,,,,,,,,,,,,,,
Q72819,1000TX TO WDM TX 1310 SMF CONVERTE,7010,321.03,EA,0,Q72819,,TRENDNET INC,1000TX TO WDM TX 1310 SMF CONVERTER 10KM (5 WEEKS) ING!!!,8,1000TX TO WDM TX 1310 SMF CONVERTER 10KM (5 WEEKS) ING!!!,,,,,,,,,,,,,,,
Q72820,1000TX TO WDM TX 1550 SMF CONVERTE,7010,463.71,EA,0,Q72820,,TRENDNET INC,1000TX TO WDM TX 1550 SMF CONVERTER 10KM (5 WEEKS) ING!!!,8,1000TX TO WDM TX 1550 SMF CONVERTER 10KM (5 WEEKS) ING!!!,,,,,,,,,,,,,,,
Q72821,1000TX TO WDM TX 1310 SMF CONVERTE,7010,713.42,EA,0,Q72821,,TRENDNET INC,1000TX TO WDM TX 1310 SMF CONVERTER 40KM (5 WEEKS) ING!!!,8,1000TX TO WDM TX 1310 SMF CONVERTER 40KM (5 WEEKS) ING!!!,,,,,,,,,,,,,,,
Q72822,1000TX TO WDM TX 1550 SMF CONVERTE,7010,951.23,EA,0,Q72822,,TRENDNET INC,1000TX TO WDM TX 1550 SMF CONVERTER 40KM (5 WEEKS) ING!!!,8,1000TX TO WDM TX 1550 SMF CONVERTER 40KM (5 WEEKS) ING!!!,,,,,,,,,,,,,,,
Q72818,1000BT TO 1000-LX SMF CONVERTER70KM,7010,642.07,EA,0,Q72818,,TRENDNET INC,1000BT TO 1000-LX SMF CONVERTER70KM ING!!!,8,1000BT TO 1000-LX SMF CONVERTER70KM ING!!!,,,,,,,,,,,,,,,
3F7740,100BASE-TX TO 100BASE-FX SINGLEMODE SC,7010,499.38,EA,0,3F7740,,TRENDNET INC,100BASE-TX TO 100BASE-FX SINGLEMODE SC FIBER CONVERTER 100KM ING!!!,8,100BASE-TX TO 100BASE-FX SINGLEMODE SC FIBER CONVERTER 100KM ING!!!,,,,,,,,,,,,,,,
Y65922,100BASE-TX TO 100BASE-FX SINGLE M,7010,79.65,EA,0,Y65922,,TRENDNET INC,100BASE-TX TO 100BASE-FX SINGLE MODE SC FIBER CONV TX1310 ING!!!,8,100BASE-TX TO 100BASE-FX SINGLE MODE SC FIBER CONV TX1310 ING!!!,,,,,,,,,,,,,,,
QM7678,INTELLIGENT 100TX TO 100FX RJ45DUAL WAV,7010,118.89,EA,0,QM7678,,TRENDNET INC,INTELLIGENT 100TX TO 100FX RJ45DUAL WAVELENGTH FIBER CNVTR 20 KM ING!!!,8,INTELLIGENT 100TX TO 100FX RJ45DUAL WAVELENGTH FIBER CNVTR 20 KM ING!!!,,,,,,,,,,,,,,,
Q72803,10/100TX TO 100FX SINGLE MODE 30 KM FI,7010,74.9,EA,0,Q72803,,TRENDNET INC,10/100TX TO 100FX SINGLE MODE 30 KM FIBER SC CONNECT ING!!!,8,10/100TX TO 100FX SINGLE MODE 30 KM FIBER SC CONNECT ING!!!,,,,,,,,,,,,,,,
Q72807,10/100TX TO 100FX SMF CONVERTER30KM,7010,97.49,EA,0,Q72807,,TRENDNET INC,10/100TX TO 100FX SMF CONVERTER30KM ING!!!,8,10/100TX TO 100FX SMF CONVERTER30KM ING!!!,,,,,,,,,,,,,,,
QM7682,INTELLIGENT 100TX TO 100FX RJ45DUAL WAV,7010,410.2,EA,0,QM7682,,TRENDNET INC,INTELLIGENT 100TX TO 100FX RJ45DUAL WAVELENGTH FIBER CNVTR 40 KM ING!!!,8,INTELLIGENT 100TX TO 100FX RJ45DUAL WAVELENGTH FIBER CNVTR 40 KM ING!!!,,,,,,,,,,,,,,,
Q72796,MANAGEMENT MODULE FOR TFC-1600 CHASSIS,7010,110.57,EA,0,Q72796,,TRENDNET INC,MANAGEMENT MODULE FOR TFC-1600 CHASSIS SNMP WEB BASED ING!!!,8,MANAGEMENT MODULE FOR TFC-1600 CHASSIS SNMP WEB BASED ING!!!,,,,,,,,,,,,,,,
Q72797,REDUNDANT POWER SUPPLY TFC-1600CHASSIS,7010,178.34,EA,0,Q72797,,TRENDNET INC,REDUNDANT POWER SUPPLY TFC-1600CHASSIS OP TFC-110MST/MSC ING!!!,8,REDUNDANT POWER SUPPLY TFC-1600CHASSIS OP TFC-110MST/MSC ING!!!,,,,,,,,,,,,,,,
6DB557,GIGABIT POE PD SFP FIBER MEDIA CO,7010,52.32,EA,0,6DB557,,TRENDNET INC,GIGABIT POE PD SFP FIBER MEDIA CONVERTER ING!!!,8,GIGABIT POE PD SFP FIBER MEDIA CONVERTER ING!!!,,,,,,,,,,,,,,,
7FY904,INDUSTRIAL GIGABIT POE+ EXTENDER,7010,142.68,EA,0,7FY904,,TRENDNET INC,INDUSTRIAL GIGABIT POE+ EXTENDER ING!!!,8,INDUSTRIAL GIGABIT POE+ EXTENDER ING!!!,,,,,,,,,,,,,,,
6YK284,5-PORT INDUSTRIAL FAST ETHERNETDIN-RAIL,7010,71.59,EA,0,6YK284,,TRENDNET INC,5-PORT INDUSTRIAL FAST ETHERNETDIN-RAIL SWITCH ING!!!,8,5-PORT INDUSTRIAL FAST ETHERNETDIN-RAIL SWITCH ING!!!,,,,,,,,,,,,,,,
6YK285,8-PORT INDUSTRIAL FAST ETHERNETDIN-RAIL,7010,107.08,EA,0,6YK285,,TRENDNET INC,8-PORT INDUSTRIAL FAST ETHERNETDIN-RAIL SWITCH ING!!!,8,8-PORT INDUSTRIAL FAST ETHERNETDIN-RAIL SWITCH ING!!!,,,,,,,,,,,,,,,
6QQ505,10PORT INDUSTRIAL GIGABIT L2 MANAGED,7010,429.3,EA,0,6QQ505,,TRENDNET INC,10PORT INDUSTRIAL GIGABIT L2 MANAGED DIN-RAIL SWITCH ING!!!,8,10PORT INDUSTRIAL GIGABIT L2 MANAGED DIN-RAIL SWITCH ING!!!,,,,,,,,,,,,,,,
7BB575,16-PORT INDUSTRIAL SWITCH MANAGED,7010,508.84,EA,0,7BB575,,TRENDNET INC,16-PORT INDUSTRIAL SWITCH MANAGED DIN RAIL SWITCH ING!!!,8,16-PORT INDUSTRIAL SWITCH MANAGED DIN RAIL SWITCH ING!!!,,,,,,,,,,,,,,,
7HD944,14PORT GIGABIT INDUSTRIAL DIN-RAIL,7010,416.16,EA,0,7HD944,,TRENDNET INC,14PORT GIGABIT INDUSTRIAL DIN-RAIL SWITCH ING!!!,8,14PORT GIGABIT INDUSTRIAL DIN-RAIL SWITCH ING!!!,,,,,,,,,,,,,,,
6KA629,HARDEND INDUSTRIAL 90W GIGABIT GIGABIT,7010,190.25,EA,0,6KA629,,TRENDNET INC,HARDEND INDUSTRIAL 90W GIGABIT GIGABIT 4P POE INJECTOR ING!!!,8,HARDEND INDUSTRIAL 90W GIGABIT GIGABIT 4P POE INJECTOR ING!!!,,,,,,,,,,,,,,,
6KA630,POE+ DIN-RAIL SWITCH 5PORT IN,7010,130.79,EA,0,6KA630,,TRENDNET INC,POE+ DIN-RAIL SWITCH 5PORT INDUSTRIAL FAST ETHERNET ING!!!,8,POE+ DIN-RAIL SWITCH 5PORT INDUSTRIAL FAST ETHERNET ING!!!,,,,,,,,,,,,,,,
