CONTNUM|MFGPART|MFGNAME|PRODNAME|VENDPART|PRODDESC|PRODDESC2|PRODDESC3|PRODDESC4|NSN|VALUE1|VALUE2|VALUE3|DVOLUME|D_VUNIT|ISSCODE|QTY_UNIT|QP_UNIT|STDPACK|WEIGHT|SIN|PPOINT|INCR_OF|P_WWW|WARNUMBER|WARPERIOD|P_DELIV|LEADTIME|UNIT1|UNIT2|UNIT3|TYPE1|TYPE2|TYPE3|ITEMTYPE|UPC|UNSPSC|FOB_AK|FOB_HI|FOB_PR|FOB_US|PSC_CODE|GSAPRICE|TEMPRICE|TPRSTART|TPRSTOP|MLP|ZONE_NUM
47QSHA19D003A|27014-AEBK|CASTROL|BRAYCO 460 - 1 GALLON|27014-AEBK|BRAYCO 460 - 1 Gallon|||||7|7|8|0.23|CF|CN|1|GA||8|834 900|US||http://https://www.acilube.com/brayco-460-gl-mil-prf-6081-turbine-oil.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|14.83|0|||15.17|00
47QSHA19D003A|27014-AEDR|CASTROL|BRAYCO 460 - 1 DRUM - 55 GALLONS|27014-AEDR|BRAYCO 460 - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||http://https://www.acilube.com/brayco-460-55gl-mil-prf-6081-turbine-oil.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|1047.82|0|||1072.13|00
47QSHA19D003A|27014-AEPL|CASTROL|BRAYCO 460 - 1 PAIL - 5 GALLONS|27014-AEPL|BRAYCO 460 - 1 Pail - 5 Gallons|||||12|12|16|1.33|CF|PA|5|GA||45|834 900|US||http://https://www.acilube.com/brayco-460-5gl-mil-prf-6081-turbine-oil.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|119.23|0|||122|00
47QSHA19D003A|27018-AEDR|CASTROL|BRAYCO MICRONIC 783 - 1 DRUM - 55 GALLON|27018-AEDR|BRAYCO MICRONIC 783 - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||https://www.acilube.com/brayco-783-55gl-mil-prf-6083-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|1297.24|0|||1327.33|00
47QSHA19D003A|27019-AEDR|CASTROL|BRAYCO MICRONIC 889 - 1 DRUM - 55 GALLON|27019-AEDR|BRAYCO MICRONIC 889 - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||https://www.acilube.com/brayco-889-55gl-mil-prf-87252-specialty-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|2179.51|0|||2230.07|00
47QSHA19D003A|27019-AEPL|CASTROL|BRAYCO MICRONIC 889 - 1 PAIL - 5 GALLONS|27019-AEPL|BRAYCO MICRONIC 889 - 1 Pail - 5 Gallons|||||12|12|16|1.33|CF|PA|5|GA||45|834 900|US||https://www.acilube.com/brayco-889-5gl-mil-prf-87252-speciality-fluids.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|254.69|0|||260.6|00
47QSHA19D003A|27020-AECD|CASTROL|BRAYCO MICRONIC 881 12 - 1QT - 1 CASE|27020-AECD|BRAYCO MICRONIC 881 12 - 1QT - 1 Case|||||21|17|7|1.45|CF|CA|12|QT||24|834 900|US||https://www.acilube.com/brayco-881-qt-mil-87257-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|131.63|0|||134.68|00
47QSHA19D003A|27020-AEDR|CASTROL|BRAYCO MICRONIC 881 - 1 DRUM - 55 GALLON|27020-AEDR|BRAYCO MICRONIC 881 - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||https://www.acilube.com/brayco-881-55gl-mil-prf-87257-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|1848.39|0|||1891.27|00
47QSHA19D003A|27020-AEPL|CASTROL|BRAYCO MICRONIC 881 - 1 PAIL - 5 GALLONS|27020-AEPL|BRAYCO MICRONIC 881 - 1 Pail - 5 Gallons|||||12|12|16|1.33|CF|PA|5|GA||45|834 900|US||https://www.acilube.com/brayco-881-5gl-mil-prf-87257-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|180.87|0|||185.07|00
47QSHA19D003A|27021-AECD|CASTROL|BRAYCO 885 12 - 1 QT - 1 CASE|27021-AECD|BRAYCO 885 12 - 1 QT - 1 Case|||||21|17|7|1.45|CF|CA|12|QT||24|834 900|US||https://www.acilube.com/brayco-885-qt-mil-prf-6085-speciality-fluids.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|272.35|0|||278.67|00
47QSHA19D003A|27021-AEDR|CASTROL|BRAYCO 885 - 1 DRUM - 55 GALLONS|27021-AEDR|BRAYCO 885 - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||https://www.acilube.com/brayco-885-55gl-mil-prf-6085-speciality-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|3565.62|0|||3648.33|00
47QSHA19D003A|27026-AEDR|CASTROL|BRAYCO MICRONIC 776 RP - 1 DRUM - 55 GAL|27026-AEDR|BRAYCO MICRONIC 776 RP - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||https://www.acilube.com/brayco-776-55gl-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|1343.12|0|||1374.27|00
47QSHA19D003A|27027-BECS|CASTROL|CASTROL AERO 40   12 - 1 QT - 1 CASE|27027-BECS|CASTROL AERO 40 - 12 - 1 QT - 1 Case|||||21|17|7|1.45|CF|CA|12|QT||24|834 900|US||https://www.acilube.com/castrol-aero-40-bms-3-32c-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|160.94|0|||164.67|00
47QSHA19D003A|27027-BEDR|CASTROL|CASTROL AERO 40 - 1 DRUM - 55 GALLONS|27027-BEDR|CASTROL AERO 40 - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||https://www.acilube.com/castrol-aero-40-55gl-hydraulic-fluids.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|1240.62|0|||1269.4|00
47QSHA19D003A|27027-BEPL|CASTROL|CASTROL AERO 40 - 1 PAIL - 5 GALLONS|27027-BEPL|CASTROL AERO 40 - 1 Pail - 5 Gallons|||||12|12|16|1.33|CF|PA|5|GA||45|834 900|US||https://www.acilube.com/castrol-aero-40-55gl-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|141.45|0|||144.73|00
47QSHA19D003A|27028-BEDR|CASTROL|CASTROL AERO 40 RED - 1 DRUM - 55 GALLON|27028-BEDR|CASTROL AERO 40 RED - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||https://www.acilube.com/castrol-aero-40-red-55gl-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|1250.66|0|||1279.67|00
47QSHA19D003A|27028-BEPL|CASTROL|CASTROL AERO 40 RED - 1 PAIL - 5 GALLONS|27028-BEPL|CASTROL AERO 40 RED - 1 Pail - 5 Gallons|||||12|12|16|1.33|CF|PA|5|GA||45|834 900|US||https://www.acilube.com/castrol-aero-40-red-5gl-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|161.85|0|||165.6|00
47QSHA19D003A|27029-AECD|CASTROL|BRAYCO 363 - 12 - 1 QT OBL - 1 CASE|27029-AECD|BRAYCO 363 - 12 - 1 QT OBL - 1 Case|||||21|17|7|1.45|CF|CA|12|QT||24|834 900|US||https://www.acilube.com/brayco-363-qt-mil-prf-7870-corrosion-preventives.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|151.37|0|||154.88|00
47QSHA19D003A|27029-AEDR|CASTROL|BRAYCO 363 - 1 DRUM - 55 GALLONS|27029-AEDR|BRAYCO 363 - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||https://www.acilube.com/brayco-363-55gl-mil-prf-7870-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|2029.72|0|||2076.8|00
47QSHA19D003A|27030-AEDR|CASTROL|BRAYCO 589 - 1 DRUM - 55 GALLONS|27030-AEDR|BRAYCO 589 - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||https://www.acilube.com/brayco-589-55gl-mil-prf-8188-corrosion-preventives.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|4568.3|0|||4674.27|00
47QSHA19D003A|27030-AEPL|CASTROL|BRAYCO 589 - 1 PAIL - 5 GALLONS|27030-AEPL|BRAYCO 589 - 1 Pail - 5 Gallons|||||12|12|16|1.33|CF|PA|5|GA||45|834 900|US||https://www.acilube.com/brayco-589-5gl-mil-prf-8188-corrosion-preventives.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|449.84|0|||460.27|00
47QSHA19D003A|27034-ATBK|CASTROL|BRAYCO 922 - 1 GALLON - 1 GALLON|27034-ATBK|BRAYCO 922 - 1 Gallon - 1 Gallon|||||7|7|8|0.23|CF|CN|1|GA||8|834 900|US||https://www.acilube.com/brayco-922-gl-mil-prf-7024-speciality-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|13.02|0|||13.32|00
47QSHA19D003A|27034-ATDR|CASTROL|BRAYCO 922 - 1 DRUM - 55 GALLONS|27034-ATDR|BRAYCO 922 - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||https://www.acilube.com/brayco-922-55gl-mil-prf-7024-speciality-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|911.65|0|||932.8|00
47QSHA19D003A|27056-APPL|CASTROL|BRAYCOTE 194 - 1 PAIL - 5 GALLONS|27056-APPL|BRAYCOTE 194 - 1 Pail - 5 Gallons|||||12|12|16|1.33|CF|PA|5|GA||45|834 900|US||https://www.acilube.com/braycote-194-5gl-mil-prf-16173-corrosion-preventives.htm|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|462.4|0|||473.13|00
47QSHA19D003A|27058-APPL|CASTROL|BRAYCOTE 236 - 1 PAIL - 35 POUNDS|27058-APPL|BRAYCOTE 236 - 1 Pail - 35 Pounds|||||12|12|16|1.33|CF|PA|5|GA||40|834 900|US||https://www.acilube.com/braycote-236-35lb-vvp-236-corrosion-preventives.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|545.03|0|||557.67|00
47QSHA19D003A|27059-APCS|CASTROL|BRAYCOTE 248 12 -1 LB CASE|27059-APCS|BRAYCOTE 248 12 -1 LB CASE|||||21|17|7|1.45|CF|CA|12|QT||12|834 900|US||https://www.acilube.com/braycote-248--1lb-mil-c-11796-cl3-corrosion-preventives.|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|422.29|0|||432.09|00
47QSHA19D003A|27059-APPL|CASTROL|BRAYCOTE 248 - 1 PAIL - 35 POUNDS|27059-APPL|BRAYCOTE 248 - 1 Pail - 35 Pounds|||||12|12|16|1.33|CF|PA|5|GA||40|834 900|US||https://www.acilube.com/braycote-248-35lb-mil-c-11796-cl3-corrosion-preventives.|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|453.35|0|||463.87|00
47QSHA19D003A|27062-BTDR|CASTROL|CASTROL AERO J5 - 1 DRUM - 55 GALLONS|27062-BTDR|CASTROL AERO J5 - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||https://www.acilube.com/castrol-aero-j5-55gl-mil-prf-23699--c-i--turbine-oil.htm|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|3802.14|0|||3890.33|00
47QSHA19D003A|27085-BECS|CASTROL|CASTROL AERO 35 YELLOW - 1 CASE 12-QT|27085-BECS|CASTROL AERO 35 YELLOW - 1 Case 12-QT|||||21|17|7|1.45|CF|CA|12|QT||24|834 900|US||https://www.acilube.com/castrol-aero-35-yellow-bms-332-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|156.22|0|||159.84|00
47QSHA19D003A|27085-BEDR|CASTROL|CASTROL AERO 35 YELLOW - 1 DRUM - 55 GAL|27085-BEDR|CASTROL AERO 35 YELLOW - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||https://www.acilube.com/castrol-aero-35-yellow-55gl-bms-332-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|1260.69|0|||1289.93|00
47QSHA19D003A|27085-BEPL|CASTROL|CASTROL AERO 35 YELLOW - 1 PAIL - 5 GALL|27085-BEPL|CASTROL AERO 35 YELLOW - 1 Pail - 5 Gallons|||||12|12|16|1.33|CF|PA|5|GA||45|834 900|US||https://www.acilube.com/castrol-aero-35-yellow-5gl-bms-332-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|147.84|0|||151.27|00
47QSHA19D003A|27184-BEDR|CASTROL|BRAYCO 795 - 1 DRUM - 55 GALLONS|27184-BEDR|BRAYCO 795 - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||https://www.acilube.com/brayco-795-55gl-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|1597.54|0|||1634.6|00
47QSHA19D003A|C96-CL1-A35|ACI-LUBES CO|CORROSION PREVENTIVE COMPOUND|C96-CL1-A35 (MEETS TECTYL 435)|CORROSION PREVENTIVE COMPOUND A coating compound formulated to physically exclude corrosion causing substances from metal surfaces, and which can be removed by wiping. It may contain corrosion inhibitors. 35LB size that is a hot application corrosion| preventive compound which provides an effective barrier against atmospheric corrosion. The film is firm, tan in color, and opaque. Meets MIL-C-11796 CLASS 1. 8030-00-597-3288|||8030-00-597-3288|0|0|0|1|CF|EA||||1|834 900|US|||0|STND|21|AF||||LN|WD|HT|P|99999999999999||O|O|O|O|8020|210|0|||214.8711|00
47QSHA19D003A|C96-CL1-A7|ACI-LUBES CO|CORROSION PREVENTIVE COMPOUND|C96-CL1-A7 (MEETS TECTYL 435)| 7LB size that is a hot application corrosion preventive compound which provides an effective barrier against atmospheric corrosion. The film is firm, tan in color, and opaque. Meets MIL-C-11796 CLASS 1.|||||0|0|0|1|CF|EA||||1|834 900|US|||0|STND|21|AF||||LN|WD|HT|P|99999999999999||O|O|O|O|8020|130|0|||133.0155|00
47QSHA19D003A|C96-CL1-A01|ACI-LUBES CO|CORROSION PREVENTIVE COMPOUND|C96-CL1-A01 (MEETS TECTYL 435)| 1LB size that is a hot application corrosion preventive compound which provides an effective barrier against atmospheric corrosion. The film is firm, tan in color, and opaque. Meets MIL-C-11796 CLASS 1.|||||0|0|0|1|CF|EA||||1|834 900|US|||0|STND|21|AF||||LN|WD|HT|P|99999999999999||O|O|O|O|8020|95|0|||97.2036|00
47QSHA19D003A|C96-CL1-A5|ACI-LUBES CO|CORROSION PREVENTIVE COMPOUND|C96-CL1-A5 (MEETS TECTYL 435)|CORROSION PREVENTIVE COMPOUND A coating compound formulated to physically exclude corrosion causing substances from metal surfaces, and which can be removed by wiping. It may contain corrosion inhibitors. 5LB size that is a hot application corrosion| preventive compound which provides an effective barrier against atmospheric corrosion. The film is firm, tan in color, and opaque. Meets MIL-C-11796 CLASS 1. 8030-00-231-2354|||8030-00-231-2354|0|0|0|1|CF|EA||||1|834 900|US|||0|STND|21|AF||||LN|WD|HT|P|99999999999999||O|O|O|O|8020|25|0|||25.5799|00
