VENDPART,PRODNAME,PSC_CODE,GSAPRICE,ISSCODE,QTY_UNIT,MFGPART,OEM_CAGE,MFGNAME,PRODDESC,P_DELIV,LONG_DESCRIPTION,UPC,HAZMAT,TPRSTART,TPRSTOP,TEMPRICE,SHIPPING_STANDARD,SHIPPING_EXPEDITED,SHIPPING_NEXTDAY,Environmentally Preferred Indicator,Environmentally Preferred Justifying Comment,Energy Star Indicator,Energy Star Justifying Comment,Made in the USA Indicator,Made in the USA Justifying Comment,Characteristic Information
K-1013257-9D,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9D",8430,197.83,EA,0,1013257-9D,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9D",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9D",,,,,,,,,,,,,,,
K-1013257-9EE,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9EE",8430,197.83,EA,0,1013257-9EE,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9EE",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9EE",,,,,,,,,,,,,,,
K-1018024-10-5D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10.5D",8430,164.86,EA,0,1018024-10.5D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10.5D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10.5D",,,,,,,,,,,,,,,
K-1018024-10-5EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10.5EE",8430,164.86,EA,0,1018024-10.5EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10.5EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10.5EE",,,,,,,,,,,,,,,
K-1018024-10D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10D",8430,164.86,EA,0,1018024-10D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10D",,,,,,,,,,,,,,,
K-1018024-10EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10EE",8430,164.86,EA,0,1018024-10EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10EE",,,,,,,,,,,,,,,
K-1018024-11-5D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11.5D",8430,164.86,EA,0,1018024-11.5D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11.5D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11.5D",,,,,,,,,,,,,,,
K-1018024-11-5EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11.5EE",8430,164.86,EA,0,1018024-11.5EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11.5EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11.5EE",,,,,,,,,,,,,,,
K-1018024-11D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11D",8430,164.86,EA,0,1018024-11D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11D",,,,,,,,,,,,,,,
K-1018024-11EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11EE",8430,164.86,EA,0,1018024-11EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11EE",,,,,,,,,,,,,,,
K-1018024-12D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 12D",8430,164.86,EA,0,1018024-12D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 12D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 12D",,,,,,,,,,,,,,,
K-1018024-12EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 12EE",8430,164.86,EA,0,1018024-12EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 12EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 12EE",,,,,,,,,,,,,,,
K-1018024-13D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 13D",8430,164.86,EA,0,1018024-13D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 13D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 13D",,,,,,,,,,,,,,,
K-1018024-13EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 13EE",8430,164.86,EA,0,1018024-13EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 13EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 13EE",,,,,,,,,,,,,,,
K-1018024-14D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 14D",8430,164.86,EA,0,1018024-14D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 14D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 14D",,,,,,,,,,,,,,,
K-1018024-14EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 14EE",8430,164.86,EA,0,1018024-14EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 14EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 14EE",,,,,,,,,,,,,,,
K-1018024-15D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 15D",8430,164.86,EA,0,1018024-15D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 15D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 15D",,,,,,,,,,,,,,,
K-1018024-15EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 15EE",8430,164.86,EA,0,1018024-15EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 15EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 15EE",,,,,,,,,,,,,,,
K-1018024-7-5D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7.5D",8430,164.86,EA,0,1018024-7.5D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7.5D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7.5D",,,,,,,,,,,,,,,
K-1018024-7-5EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7.5EE",8430,164.86,EA,0,1018024-7.5EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7.5EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7.5EE",,,,,,,,,,,,,,,
K-1018024-7D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7D",8430,164.86,EA,0,1018024-7D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7D",,,,,,,,,,,,,,,
K-1018024-7EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7EE",8430,164.86,EA,0,1018024-7EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7EE",,,,,,,,,,,,,,,
K-1018024-8-5D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8.5D",8430,164.86,EA,0,1018024-8.5D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8.5D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8.5D",,,,,,,,,,,,,,,
K-1018024-8-5EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8.5EE",8430,164.86,EA,0,1018024-8.5EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8.5EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8.5EE",,,,,,,,,,,,,,,
K-1018024-8D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8D",8430,164.86,EA,0,1018024-8D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8D",,,,,,,,,,,,,,,
K-1018024-8EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8EE",8430,164.86,EA,0,1018024-8EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8EE",,,,,,,,,,,,,,,
K-1018024-9-5D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 9.5D",8430,164.86,EA,0,1018024-9.5D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 9.5D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 9.5D",,,,,,,,,,,,,,,
K-1018024-9-5EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 9.5EE",8430,164.86,EA,0,1018024-9.5EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 9.5EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 9.5EE",,,,,,,,,,,,,,,
K-1018024-9D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 9D",8430,164.86,EA,0,1018024-9D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 9D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 9D",,,,,,,,,,,,,,,
K-1018024-9EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 9EE",8430,164.86,EA,0,1018024-9EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 9EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 9EE",,,,,,,,,,,,,,,
3M-330-3002,"3M(TM) E-A-R(TM) Earmuffs, Hearing Conservation 330-3002 Model 3000 24 EA/Cas, UPC: 1-00-80529-30001-7, 3M-ID: 70071521044",8470,563.78,EA,0,3M-330-3002,,3M CORPORATION,"3M(TM) E-A-R(TM) Earmuffs, Hearing Conservation 330-3002 Model 3000 24 EA/Cas, UPC: 1-00-80529-30001-7, 3M-ID: 70071521044",5,"3M(TM) E-A-R(TM) Earmuffs, Hearing Conservation 330-3002 Model 3000 24 EA/Cas, UPC: 1-00-80529-30001-7, 3M-ID: 70071521044",,,,,,,,,,,,,,,
3M-330-3031,"3M(TM) E-A-R(TM) Earmuffs, Hearing Conservation 330-3031, Model 2000H, Cap-Mount 24 EA/Case, UPC: 1-00-80529-30013-0, 3M-ID: 70071515418",8470,698.28,EA,0,3M-330-3031,,3M CORPORATION,"3M(TM) E-A-R(TM) Earmuffs, Hearing Conservation 330-3031, Model 2000H, Cap-Mount 24 EA/Case, UPC: 1-00-80529-30013-0, 3M-ID: 70071515418",5,"3M(TM) E-A-R(TM) Earmuffs, Hearing Conservation 330-3031, Model 2000H, Cap-Mount 24 EA/Case, UPC: 1-00-80529-30013-0, 3M-ID: 70071515418",,,,,,,,,,,,,,,
3M-331-3010,"3M(TM) E-A-R(TM) Muff Cushions Hearing Conservation 331-3010 150 PR/Case, UPC: 1-00-80529-31007-8, 3M-ID: 70071521119",8470,844.47,EA,0,3M-331-3010,,3M CORPORATION,"3M(TM) E-A-R(TM) Muff Cushions Hearing Conservation 331-3010 150 PR/Case, UPC: 1-00-80529-31007-8, 3M-ID: 70071521119",5,"3M(TM) E-A-R(TM) Muff Cushions Hearing Conservation 331-3010 150 PR/Case, UPC: 1-00-80529-31007-8, 3M-ID: 70071521119",,,,,,,,,,,,,,,
3M-H7A-PTL,"3M(TM) Peltor(TM) PTL(TM) Earmuff, H7A-PTL, Headband Headset, 10 ea/cs, UPC: 1-00-93045-98169-1, 3M-ID: 70071515608",8470,540.17,EA,0,3M-H7A-PTL,,3M CORPORATION,"3M(TM) Peltor(TM) PTL(TM) Earmuff, H7A-PTL, Headband Headset, 10 ea/cs, UPC: 1-00-93045-98169-1, 3M-ID: 70071515608",5,"3M(TM) Peltor(TM) PTL(TM) Earmuff, H7A-PTL, Headband Headset, 10 ea/cs, UPC: 1-00-93045-98169-1, 3M-ID: 70071515608",,,,,,,,,,,,,,,
3M-H7P3E-PTL,"3M(TM) Peltor(TM) PTL(TM) Earmuff, H7P3E-PTL, Hard Hat Mount Headset 10 ea/cs, UPC: 1-00-93045-98170-7, 3M-ID: 70071515590",8470,584.12,EA,0,3M-H7P3E-PTL,,3M CORPORATION,"3M(TM) Peltor(TM) PTL(TM) Earmuff, H7P3E-PTL, Hard Hat Mount Headset 10 ea/cs, UPC: 1-00-93045-98170-7, 3M-ID: 70071515590",5,"3M(TM) Peltor(TM) PTL(TM) Earmuff, H7P3E-PTL, Hard Hat Mount Headset 10 ea/cs, UPC: 1-00-93045-98170-7, 3M-ID: 70071515590",,,,,,,,,,,,,,,
3M-MT7H7F4010-NA-50,The 3M PELTOR LiteCom Pro II UHF radio headset offers an intrinsically safe and convenient way to help your team communicate in noisy environments. It features software programmability in order to tailor settings to your specific workplace needs.  UP,8470,888.96,EA,0,3M-MT7H7F4010-NA-50,,3M CORPORATION,The 3M PELTOR LiteCom Pro II UHF radio headset offers an intrinsically safe and convenient way to help your team communicate in noisy environments. It features software programmability in order to tailor settings to your specific workplace needs. UP,5,The 3M PELTOR LiteCom Pro II UHF radio headset offers an intrinsically safe and convenient way to help your team communicate in noisy environments. It features software programmability in order to tailor settings to your specific workplace needs. UP,,,,,,,,,,,,,,,
3M-X4A,"3M(TM) PELTOR(TM) Over-the-Head Earmuffs X4A/37273(AAD) 10 EA/Case, UPC: 1-00-93045-93726-1, 3M-ID: XA007707863",8470,300.52,EA,0,3M-X4A,,3M CORPORATION,"3M(TM) PELTOR(TM) Over-the-Head Earmuffs X4A/37273(AAD) 10 EA/Case, UPC: 1-00-93045-93726-1, 3M-ID: XA007707863",5,"3M(TM) PELTOR(TM) Over-the-Head Earmuffs X4A/37273(AAD) 10 EA/Case, UPC: 1-00-93045-93726-1, 3M-ID: XA007707863",,,,,,,,,,,,,,,
